temp
2.323
1.881
2.054
2.943
3.334
3.171
1.774
1.704
3.193
1.928
2.105
2.626
1.769
1.705
2.353
2.634
3.188
2.844
3.369
3.396
1.877
1.633
2.194
2.38
3.071
3.331
3.312
3.004
2.393
2.518
3.027
2.995
3.188
